"5.56","5.20"
"2.82","4.67"
"3.86","5.24"
"7.50","4.77"
"4.56","4.56"
"6.40","5.62"
"5.26","4.73"
"4.84","4.40"
"4.25","4.91"
"5.27","3.27"
"3.42","5.61"
"5.48","5.74"
"4.67","6.75"
"4.34","4.09"
"4.91","4.13"
"4.12","5.08"
"4.68","4.10"
"5.78","4.82"
"6.81","4.71"
"3.14","4.89"
"5.60","4.56"
"4.90","4.90"
"4.44","2.21"
"4.89","6.17"
"5.90","6.85"
"5.47","6.14"
"5.12","6.09"
"3.52","5.43"
"5.86","5.17"
"4.22","5.22"
"4.69","4.46"
"5.23","4.61"
"6.06","4.25"
"5.28","3.22"
"5.09","3.78"
"6.47","6.28"
"4.81","7.33"
"5.82","4.10"
"5.09","6.84"
"4.66","4.93"
"5.90","4.96"
"5.29","2.77"
"4.65","5.07"
"6.84","5.51"
"3.96","4.76"
"2.58","4.75"
"4.04","4.93"
"5.32","5.61"
"4.57","6.22"
"6.04","4.68"
"3.12","6.34"
"4.06","6.03"
"4.21","3.67"
"5.88","5.42"
"4.68","5.14"
"5.56","4.10"
"5.31","5.30"
"5.57","3.97"
"6.03","5.35"
"5.91","3.99"
"5.21","4.37"
"6.70","5.21"
"4.39","5.87"
"5.12","6.04"
"4.30","5.27"
"4.73","5.44"
"4.51","5.41"
"6.48","4.02"
"6.02","5.30"
"5.45","3.86"
"4.89","5.53"
"3.87","4.03"
"5.29","5.52"
"3.74","4.82"
"4.52","4.03"
"3.83","5.41"
"4.87","5.44"
"5.66","3.00"
"6.48","4.05"
"4.84","5.43"
"4.18","4.35"
"5.29","5.36"
"5.54","4.29"
"5.31","3.58"
"6.10","6.60"
"5.49","3.97"
"5.18","3.54"
"4.95","4.95"
"5.06","3.25"
"4.39","4.84"
"4.89","6.24"
"3.19","7.19"
"4.69","5.33"
"3.20","4.29"
"5.72","4.68"
"4.47","4.59"
"5.26","5.58"
"4.40","4.86"
"4.41","6.64"
"7.19","5.76"
"6.33","5.82"
"6.44","4.48"
"4.60","5.01"
"3.53","6.16"
"5.33","5.01"
"4.19","5.69"
"4.45","5.67"
"6.05","4.14"
"4.60","4.89"
"5.75","4.60"
"3.48","4.12"
"5.03","4.82"
"3.36","4.45"
"5.43","4.32"
"4.41","3.83"
"5.06","4.52"
"7.02","3.59"
"5.98","4.98"
"4.39","5.05"
"5.05","3.30"
"6.12","5.51"
"5.63","5.00"
"4.75","4.08"
"5.99","4.85"
"4.03","3.60"
"5.64","3.97"
"3.19","4.71"
"6.08","5.78"
"4.80","4.43"
"6.52","6.38"
"5.72","4.76"
"5.59","4.19"
"4.60","4.79"
"4.06","4.12"
"4.70","2.96"
"5.37","4.08"
"4.18","4.73"
"4.20","4.36"
"4.88","4.57"
"4.43","6.31"
"4.59","5.42"
"5.99","3.78"
"4.24","5.04"
"5.66","4.42"
"5.60","6.01"
"4.82","4.94"
"5.31","4.40"
"5.13","6.36"
"4.40","4.65"
"3.95","5.18"
"-4.06","-7.79"
"-4.96","-5.73"
"-3.10","-4.23"
"-2.87","-5.84"
"-3.82","-3.87"
"-4.01","-3.58"
"-3.83","-5.72"
"-3.27","-4.22"
"-5.29","-5.32"
"-3.41","-6.41"
"-5.11","-5.40"
"-5.79","-5.93"
"-5.00","-3.39"
"-5.09","-5.66"
"-4.62","-7.14"
"-3.52","-5.54"
"-4.96","-3.46"
"-5.96","-4.80"
"-6.74","-4.50"
"-4.57","-5.38"
"-3.37","-5.41"
"-5.17","-5.41"
"-5.38","-4.64"
"-4.77","-4.40"
"-3.85","-4.41"
"-7.02","-5.85"
"-2.64","-3.15"
"-4.49","-4.79"
"-3.68","-5.27"
"-4.36","-4.35"
"-5.32","-5.48"
"-5.14","-4.93"
"-4.29","-4.06"
"-5.78","-5.16"
"-5.62","-4.73"
"-5.65","-4.59"
"-4.57","-4.29"
"-6.05","-5.06"
"-5.66","-3.15"
"-7.51","-4.60"
"-6.06","-4.46"
"-6.16","-4.09"
"-5.05","-5.65"
"-3.71","-4.27"
"-4.63","-5.54"
"-4.24","-5.98"
"-4.44","-4.84"
"-5.56","-5.28"
"-4.44","-5.64"
